"team","season","opponent","year","month","day","teamscore","opponentscore","location","overtime"
"Central Ark.","2014-15","Western Ky.",2014,11,14,57,93,"Away",0
"Central Ark.","2014-15","Eastern Ky.",2014,11,21,55,56,"Neutral",0
"Central Ark.","2014-15","Jackson St.",2014,11,22,56,45,"Neutral",0
"Central Ark.","2014-15","Lyon",2014,11,25,59,43,"Home",0
"Central Ark.","2014-15","Jacksonville St.",2014,11,29,54,63,"Home",0
"Central Ark.","2014-15","Alcorn",2014,12,2,62,36,"Away",0
"Central Ark.","2014-15","Central Baptist",2014,12,4,72,39,"Home",0
"Central Ark.","2014-15","Southeast Mo. St.",2014,12,6,46,48,"Home",0
"Central Ark.","2014-15","Georgia Tech",2014,12,14,50,88,"Away",0
"Central Ark.","2014-15","Williams Baptist",2014,12,16,73,57,"Home",0
"Central Ark.","2014-15","Blue Mountain (MS)",2014,12,19,71,30,"Home",0
"Central Ark.","2014-15","Austin Peay",2014,12,30,63,54,"Home",0
"Central Ark.","2014-15","Abilene Christian",2015,1,4,66,60,"Away",0
"Central Ark.","2014-15","A&M-Corpus Christi",2015,1,6,63,59,"Home",0
"Central Ark.","2014-15","SFA",2015,1,8,46,73,"Home",0
"Central Ark.","2014-15","Lamar University",2015,1,13,46,82,"Away",0
"Central Ark.","2014-15","Houston Baptist",2015,1,15,37,58,"Away",0
"Central Ark.","2014-15","New Orleans",2015,1,21,53,46,"Away",0
"Central Ark.","2014-15","Nicholls St.",2015,1,24,72,75,"Home",1
"Central Ark.","2014-15","Northwestern St.",2015,1,28,63,46,"Home",0
"Central Ark.","2014-15","Southeastern La.",2015,2,4,60,48,"Away",0
"Central Ark.","2014-15","New Orleans",2015,2,7,50,44,"Home",0
"Central Ark.","2014-15","Northwestern St.",2015,2,12,52,54,"Away",0
"Central Ark.","2014-15","UIW",2015,2,15,58,49,"Home",0
"Central Ark.","2014-15","McNeese",2015,2,18,63,65,"Home",0
"Central Ark.","2014-15","Sam Houston St.",2015,2,21,66,63,"Home",0
"Central Ark.","2014-15","Sam Houston St.",2015,2,26,64,56,"Away",0
"Central Ark.","2014-15","Southeastern La.",2015,2,28,73,57,"Home",0
"Central Ark.","2014-15","Nicholls St.",2015,3,5,43,53,"Away",0
"Central Ark.","2014-15","McNeese",2015,3,7,68,72,"Away",0
"Central Ark.","2014-15","Northwestern St.",2015,3,12,49,63,"Neutral",0
"CSUN","2014-15","Idaho",2014,11,14,67,50,"Home",0
"CSUN","2014-15","Sacramento St.",2014,11,16,81,66,"Home",0
"CSUN","2014-15","BYU",2014,11,19,63,54,"Away",0
"CSUN","2014-15","Portland",2014,11,21,45,41,"Home",0
"CSUN","2014-15","Montana St.",2014,11,28,78,66,"Home",0
"CSUN","2014-15","Texas Southern",2014,11,29,63,50,"Home",0
"CSUN","2014-15","Saint Mary's (CA)",2014,12,4,63,73,"Away",0
"CSUN","2014-15","Pepperdine",2014,12,6,74,48,"Home",0
"CSUN","2014-15","Southern California",2014,12,9,74,85,"Away",1
"CSUN","2014-15","Northern Ariz.",2014,12,18,77,71,"Away",0
"CSUN","2014-15","San Diego St.",2014,12,20,65,54,"Away",0
"CSUN","2014-15","FGCU",2014,12,28,64,73,"Neutral",0
"CSUN","2014-15","Saint Joseph's",2014,12,29,54,61,"Away",0
"CSUN","2014-15","Seattle U",2015,1,3,86,63,"Away",0
"CSUN","2014-15","UC Davis",2015,1,8,49,60,"Home",0
"CSUN","2014-15","Hawaii",2015,1,10,53,46,"Home",0
"CSUN","2014-15","UC Santa Barbara",2015,1,15,84,48,"Home",0
"CSUN","2014-15","Cal Poly",2015,1,17,54,63,"Away",0
